time,open,high,low,close,volume,
1.63E+12,49069.51,49074.29,49011.82,49034.34,19.34214,
1.63E+12,49034.34,49034.35,48968.38,48993.31,20.24289,
1.63E+12,48993.32,49009.52,48980.75,48990.23,14.48291,
1.63E+12,48990.24,49003.4,48963.61,48963.61,13.01619,
1.63E+12,48963.62,49000,48963.61,48998.38,12.62017,
1.63E+12,48998.38,49005.64,48990.02,48999.76,7.66924,
1.63E+12,48999.77,49006.98,48990,49003.89,8.28059,
1.63E+12,49003.88,49008,48963.19,48965.71,8.20421,
1.63E+12,48963.19,48979.24,48955.06,48976.11,7.56982,
1.63E+12,48979.98,49000,48972.93,49000,6.8812,
1.63E+12,49000,49000,48972.92,48974,6.76446,
1.63E+12,48973.99,48983.39,48962.55,48970.43,5.80662,
1.63E+12,48970.43,48973.7,48962.55,48969.54,5.00198,
1.63E+12,48969.53,48970.44,48943.3,48945.01,8.94899,
1.63E+12,48943.3,48944.45,48914.74,48925.57,13.14452,
1.63E+12,48925.56,48925.58,48918.4,48919.62,8.33299,
1.63E+12,48919.61,48980,48918.42,48962.01,13.2245,
1.63E+12,48962.01,48966.5,48928.42,48930.6,6.94433,
1.63E+12,48930.6,48965.98,48922.23,48960.71,9.67211,
1.63E+12,48960.71,48974.12,48940.76,48955.48,12.59111,
1.63E+12,48955.48,48972.36,48937.67,48972.35,20.22885,
1.63E+12,48972.35,48998.06,48972.35,48993.96,14.53249,
1.63E+12,48993.95,48997.31,48968.62,48997.3,11.34267,
1.63E+12,48997.3,48997.31,48983.92,48996.73,10.81125,
1.63E+12,48996.73,49058.46,48996.72,49058.45,36.64009,
1.63E+12,49058.46,49058.46,49012.92,49017.06,15.41378,
1.63E+12,49017.05,49017.06,48988.28,48997.54,11.50903,
1.63E+12,48997.53,48997.54,48975.51,48978.56,11.61121,
1.63E+12,48978.55,49000,48969.81,48998.19,15.31114,
1.63E+12,48998.2,48998.2,48948.52,48952.16,11.53668,
1.63E+12,48952.16,48960.31,48941.2,48942.02,16.65072,
1.63E+12,48942.03,48960,48937.62,48943.16,19.58287,
1.63E+12,48943.15,48947.14,48930.02,48932.16,14.11902,
1.63E+12,48932.15,48943.17,48917.85,48943.16,9.4716,
1.63E+12,48943.17,48943.17,48921,48923.15,11.22064,
1.63E+12,48923.14,48923.15,48872,48883.52,34.2285,
1.63E+12,48883.53,48893.54,48882.58,48888.95,14.08313,
1.63E+12,48888.95,48888.96,48871.89,48874.21,14.79509,
1.63E+12,48874.2,48880,48869.99,48879.52,7.53294,
1.63E+12,48879.51,48888.88,48854.21,48866.14,20.8384,
